Region,Service_Type,Type,Optimal_Num_Branches,Optimal_Cumulative_Percentage,Branches
DDL,Ground,Billed Wt,155,71.49243588319501,"Q06, J03, U03, U10, U09, J01, U139, U06, K05, K28, J02, T10, U15, W52, L04, J21, B35, J25, J13, U16, B06, Q02, J05, H70, I46, U48, J07, U13, U14, U02, C53, Q04, X22, J08, B59, B26, P04, B07, J26, J19, M05, Q03, P19, M35, I02, A03, S27, U07, M01, B09, U01, B58, J18, U12, S04, V58, I08, U23, S02, J15, H09, Q34, U143, T04, J04, Q16, R32, W02, H71, Q35, R11, J20, M08, K07, B11, A36, T03, P12, P27, P24, U18, U25, L23, J12, J16, E21, K06, A11, U24, K81, Q09, J11, B08, C36, C13, B61, Q13, K74, M07, T13, B02, M54, P15, H08, P50, K72, U30, M39, M47, A05, J37, U19, A24, B32, M48, O02, Q01, H79, H80, K23, U20, J14, C47, P09, V08, M02, M61, R08, U22, L05, O04, O13, J50, M46, M06, M04, U17, O12, M78, Q11, U27, H11, Q07, I42, U31, B01, H10, R07, J36, I43, A50, O05, X02, P22, Q12"
DDL,Ground,Volume,114,58.26772979481177,"J03, U03, U09, J01, Q06, U10, B35, J02, B06, U06, L04, J25, P04, H70, J13, J05, K05, J07, U13, S02, M01, X22, Q02, U48, U16, B59, U139, S04, J08, B07, J26, B09, Q04, A03, U02, S27, U15, P19, M47, R32, I46, U07, M07, M05, W52, A36, V58, I42, J21, U14, J04, B11, I08, J18, K28, A11, Q03, A46, P24, B26, Q01, Q34, B58, P12, U01, P27, P15, H71, M08, T32, J19, A24, M61, J15, T03, U30, H11, I02, E21, K07, W02, B61, S09, J16, L02, U130, U25, T10, Q09, K06, L23, T04, U143, H80, Q35, C47, U23, L27, Q17, H79, U24, O02, R11, H09, M46, C13, B02, S01, Q16, J20, B32, I43, H08, K81"
GAU,Air Red,Billed Wt,1,11.19640516757162,W52
GAU,Air White,Billed Wt,2,9.004313443565769,"K28, K05"
GAU,Ground,Billed Wt,5,17.93559913915621,"T03, K05, K74, K72, B61"
HHPT,Air Red,Billed Wt,22,32.95724299717931,"L04, E02, N17, N11, U13, M47, U30, N02, N03, B07, N09, U15, M07, M61, M48, S04, N10, M01, S02, M05, B06, S01"
HHPT,Air Red,Volume,7,11.547845504921025,"L04, N11, N17, L02, M01, N37, B06"
HHPT,Air White,Billed Wt,67,49.48614739613029,"N11, N17, L04, N38, N03, N37, S09, S04, N09, B06, N02, S02, L02, U03, N35, L27, U10, S01, S27, M01, B35, S03, K05, P04, L03, U09, N32, N15, H70, M05, M07, B07, A36, U13, L23, N31, M78, M54, N10, X22, B11, O04, A11, M47, U30, M08, M48, S17, Q13, Q06, S26, B59, P19, N33, E02, C13, M61, A46, B58, A03, H71, P27, B09, Q02, M45, M59, Q01"
HHPT,Air White,Volume,50,48.28989014660663,"N11, N17, N37, L04, S09, N03, S04, N09, S02, N02, L02, N38, U03, S27, U10, N15, L27, S01, U09, S03, L03, U13, N32, Q13, B06, A46, N10, M01, U30, Q01, P04, N31, L23, B35, N33, S17, M07, Q06, N35, Q34, Q02, A36, M08, Q16, Q17, S26, A11, M05, M47, P19"
HHPT,Ground,Billed Wt,107,59.72606937846976,"L04, N37, L23, U03, N38, U06, S02, S04, Q06, U09, N17, N11, A05, S27, N32, W52, N03, W02, N02, U13, U10, B07, U16, U15, N35, K28, U139, U07, U02, K81, K05, K06, P04, L05, K74, S01, A03, Q11, N09, L03, U14, Q35, X02, P19, I46, X22, Q03, T10, Q02, T03, R32, N33, N31, N15, B35, U19, I08, V08, M47, K07, U30, M05, B06, U48, O04, Q34, Q04, U22, M08, K32, U01, Q16, U17, K23, M35, E21, U24, M07, M46, H79, N10, A11, Q09, U18, U23, T06, U25, V58, O02, U45, W06, T04, S17, Q13, K75, A18, I02, M66, M61, B02, K45, O12, H11, U26, S26, U141, K37"
HHPT,Ground,Volume,20,20.076059754991427,"L04, N37, S04, N17, N11, U03, U06, N38, U09, S02, N03, N02, S27, Q06, L23, U10, N32, N09, P04, W02"
HYD,Air Red,Billed Wt,13,23.673290119343317,"V58, B35, V08, B06, L04, V05, V04, V01, C14, B07, B59, V09, B11"
HYD,Air Red,Volume,8,17.873433649661845,"V58, V08, B35, V05, P04, B06, V16, V04"
HYD,Air White,Billed Wt,28,46.78569074067968,"V58, V08, B35, V05, V04, V09, V10, B06, V01, T10, V13, V16, V57, V07, V15, B59, B61, B09, B26, B07, B11, V11, V12, C47, B58, C13, L04, E21"
HYD,Air White,Volume,25,56.42552403106362,"V58, V08, V05, V04, V10, B35, V09, V13, V01, V57, V16, V07, B06, V15, B59, V11, V12, B61, B09, B26, B07, V22, B11, V21, C47"
HYD,Ground,Billed Wt,46,60.516674440524206,"V58, V04, V08, V07, V05, V01, V09, B35, V16, B06, V13, B09, V10, B07, V22, V57, V15, V24, V11, B61, V12, C47, C13, W52, B26, P04, B59, B11, U48, B08, K05, M35, B58, L04, E21, C74, C14, O05, T10, C30, V21, P24, P19, E06, B02, Q06"
HYD,Ground,Volume,10,31.136212908884758,"V58, V04, V08, V05, V07, B35, B06, V01, V09, V10"
IDR,Air Red,Billed Wt,1,4.96143958868894,L04
IDR,Air Red,Volume,1,5.31476598549769,L04
IDR,Air White,Billed Wt,10,12.27175410126687,"M39, B35, L04, P04, N37, U07, C36, B06, M05, M01"
IDR,Air White,Volume,13,14.59553158705701,"U07, P04, M07, B35, B06, M05, M01, R32, A46, N17, N11, M08, M47"
IDR,Ground,Billed Wt,36,37.616545277692126,"U07, M35, L23, S04, L04, B35, Q06, H70, P04, M66, U24, B06, Q02, S02, R07, C53, R11, R32, J26, C13, A24, N35, P50, H79, X10, U139, B32, P22, B08, M05, B59, J03, M08, N32, K28, P09"
IDR,Ground,Volume,1,5.294972391746586,U07
JAI,Air Red,Billed Wt,7,14.818597331279612,"L04, B06, L02, H70, B35, M01, S04"
JAI,Air Red,Volume,7,12.984436985047296,"L04, P24, B06, L02, M01, H70, B35"
JAI,Air White,Billed Wt,58,40.14618517862602,"H70, M05, B35, N11, B06, M01, N17, L04, A36, N02, P04, M07, S04, L02, L27, N09, N03, B07, U10, B59, S02, C36, S01, U03, V58, M78, N37, B09, N38, J03, H79, K05, H08, A24, M47, U30, S09, N35, J01, X22, M08, V08, N31, E21, M61, P19, H80, A46, B11, P24, A03, J13, N32, M06, K28, J02, P12, P27"
JAI,Air White,Volume,46,35.43375998249645,"N11, N17, L02, H70, B35, M01, L04, A36, B06, S04, J03, N09, A46, N02, S01, N03, S02, P04, M07, M05, L27, S09, U03, B59, M08, U09, B07, J02, M61, J13, U10, M47, C36, J01, S03, V58, M78, N37, E21, N32, H08, A24, P24, P12, J05, U30"
JAI,Ground,Billed Wt,112,57.801982786992426,"L04, M35, S04, L23, J26, H70, B61, J03, B35, B06, A11, A03, N11, K07, X22, P04, U03, K05, B26, U09, N32, C53, B59, M01, N17, K28, B07, P19, U07, S02, M07, L05, B09, M05, N38, K81, M08, W52, N37, U10, E21, M47, N02, J25, J08, H80, I46, N09, J19, J07, N03, J02, E02, U16, V58, O02, I08, O04, M61, N35, P12, J05, A36, U06, K06, P24, T10, K23, J01, H71, M54, S27, H08, B08, N15, H79, P15, S01, J20, W02, T13, T04, O12, U02, P27, J18, N31, T03, H09, H11, K74, B58, P09, C47, J13, O05, V08, A24, B11, E06, P20, K75, U30, C13, A46, I40, K32, M46, P22, U25, O13, M04"
JAI,Ground,Volume,57,35.667393090151194,"B35, H70, B06, S04, B59, N11, P04, N17, L04, M01, A46, J03, U03, M47, M07, B07, K05, B09, P19, O02, M61, E21, M05, I42, B26, U09, A36, A03, O04, S02, I46, N02, V58, S09, H80, M08, J02, N37, O05, C47, L02, K81, P12, P24, B11, U07, N09, U10, B61, J13, O13, A11, H11, P15, X22, L27, I08"
MUM,Air Red,Billed Wt,59,45.04349550388401,"L04, S04, K28, B06, B07, A36, H70, B58, B35, P19, S01, P04, N11, C13, K05, J03, J01, C48, N17, I42, H08, L02, A24, A03, B59, K74, I46, N02, N03, B11, A46, C36, B09, P12, N10, S26, E21, B26, S03, N32, P24, O02, P15, A11, R32, P09, C14, H71, Q06, X22, S17, P27, N09, N38, N37, S02, B61, V58, U03"
MUM,Air Red,Volume,54,40.270934298095256,"A36, H70, P04, B06, B35, P19, A46, L04, B07, P12, A03, O12, N11, S04, I42, O02, L02, B59, B58, P27, J03, N17, S01, B09, P24, P15, B11, J01, R32, C13, H08, N03, E21, A11, O04, N02, A24, K39, K05, X22, H71, U03, C14, B26, B01, C47, V58, U09, P09, N38, O23, N09, I46, C36"
MUM,Air White,Billed Wt,109,59.55643858455924,"B06, P04, L04, H70, B35, P19, P12, K72, A36, B07, S04, K05, B59, P24, J03, N11, P27, B11, P15, X22, B58, I46, W52, B09, K28, N17, E21, H08, Q06, N38, N03, B26, H71, V58, U03, A03, C13, A24, R32, S01, B61, P22, N09, N32, C36, P09, B32, U09, A46, L02, K07, B01, J01, C47, W02, O13, O02, N35, U10, R11, P11, S02, H79, H80, U01, I02, I42, C14, A05, C22, N02, B08, E06, J02, H09, K06, N37, E23, S17, L27, O04, H11, O05, A11, U139, N31, K75, B02, V09, K74, S26, C15, V05, V08, J13, I08, C37, U48, U30, X02, H10, K81, Q04, P50, H74, U06, C74, N33, B18"
MUM,Air White,Volume,101,57.51799636336465,"P04, P19, B06, A46, P12, A36, H70, B35, P24, P27, P15, N11, R32, A03, P22, B59, L02, P09, B07, J03, A11, A24, L04, B11, E21, I42, N17, S04, B32, U03, X22, A05, V58, P11, B09, H71, I46, N09, K05, B26, I02, S01, O02, B58, R11, N02, P50, B61, N03, H08, H11, C47, H80, S02, C13, H09, H79, B01, L27, I43, U09, O04, Q01, A02, N32, T32, N38, W02, J02, K39, K06, K07, W52, H74, A48, B08, U10, O12, K81, N37, Q17, S09, J01, Q06, Q02, O05, T03, P10, K75, C14, C36, H07, V08, Q04, J13, I08, N31, B02, P20, U48, J05"
