org_branch_code,service_type,type,sum
B51,Air Red,Volume,6.4
B51,Air Red,Billed Wt,17.76
B51,Air White,Volume,380.68
B51,Air White,Billed Wt,465.8
B51,Ground,Volume,17.04
B51,Ground,Billed Wt,173.08
B53,Air Red,Volume,30.0
B53,Air Red,Billed Wt,78.28
B53,Air White,Volume,170.36
B53,Air White,Billed Wt,211.64
B53,Ground,Volume,97.6
B53,Ground,Billed Wt,1437.52
B58,Air Red,Volume,215.48
B58,Air Red,Billed Wt,473.76
B58,Air White,Volume,690.56
B58,Air White,Billed Wt,1215.4
B58,Ground,Volume,104.6
B58,Ground,Billed Wt,1356.2
B59,Air Red,Volume,396.84
B59,Air Red,Billed Wt,678.12
B59,Air White,Volume,1321.56
B59,Air White,Billed Wt,2718.44
B59,Ground,Volume,217.6
B59,Ground,Billed Wt,2239.4
B61,Air Red,Volume,154.6
B61,Air Red,Billed Wt,404.52
B61,Air White,Volume,367.2
B61,Air White,Billed Wt,699.88
B61,Ground,Volume,207.4
B61,Ground,Billed Wt,2498.72
B62,Air Red,Volume,0.76
B62,Air Red,Billed Wt,5.36
B62,Air White,Volume,28.88
B62,Air White,Billed Wt,49.92
B62,Ground,Volume,31.0
B62,Ground,Billed Wt,277.28
B63,Air Red,Volume,1.16
B63,Air Red,Billed Wt,1.88
B63,Air White,Volume,15.92
B63,Air White,Billed Wt,29.24
B63,Ground,Volume,5.88
B63,Ground,Billed Wt,81.2
B64,Air Red,Volume,4.32
B64,Air Red,Billed Wt,12.4
B64,Air White,Volume,69.12
B64,Air White,Billed Wt,103.4
B64,Ground,Volume,16.8
B64,Ground,Billed Wt,172.44
B65,Air Red,Volume,13.48
B65,Air Red,Billed Wt,75.48
B65,Air White,Volume,29.24
B65,Air White,Billed Wt,61.12
B65,Ground,Volume,34.88
B65,Ground,Billed Wt,1183.8
B68,Air Red,Volume,133.4
B68,Air Red,Billed Wt,187.88
B68,Air White,Volume,229.72
B68,Air White,Billed Wt,310.44
B68,Ground,Volume,49.4
B68,Ground,Billed Wt,527.68
B95,Air Red,Volume,2.64
B95,Air Red,Billed Wt,4.24
B95,Air White,Volume,38.2
B95,Air White,Billed Wt,47.24
B95,Ground,Volume,8.08
B95,Ground,Billed Wt,81.24
C02,Air Red,Volume,33.32
C02,Air Red,Billed Wt,201.52
C02,Air White,Volume,283.52
C02,Air White,Billed Wt,469.04
C02,Ground,Volume,105.2
C02,Ground,Billed Wt,2232.16
C08,Air Red,Volume,43.52
C08,Air Red,Billed Wt,87.04
C08,Air White,Volume,364.56
C08,Air White,Billed Wt,536.32
C08,Ground,Volume,141.64
C08,Ground,Billed Wt,2330.2
C13,Air Red,Volume,290.32
C13,Air Red,Billed Wt,482.8
C13,Air White,Volume,799.72
C13,Air White,Billed Wt,1207.96
C13,Ground,Volume,292.36
C13,Ground,Billed Wt,3669.92
C14,Air Red,Volume,126.76
C14,Air Red,Billed Wt,243.16
C14,Air White,Volume,538.36
C14,Air White,Billed Wt,904.96
C14,Ground,Volume,130.96
C14,Ground,Billed Wt,2209.12
C15,Air Red,Volume,145.52
C15,Air Red,Billed Wt,161.32
C15,Air White,Volume,899.08
C15,Air White,Billed Wt,638.92
C15,Ground,Volume,120.6
C15,Ground,Billed Wt,932.04
C22,Air Red,Volume,75.12
C22,Air Red,Billed Wt,38.84
C22,Air White,Volume,191.96
C22,Air White,Billed Wt,226.24
C22,Ground,Volume,37.4
C22,Ground,Billed Wt,354.4
C30,Air Red,Volume,92.84
C30,Air Red,Billed Wt,116.92
C30,Air White,Volume,290.16
C30,Air White,Billed Wt,441.56
C30,Ground,Volume,79.96
C30,Ground,Billed Wt,1787.96
C36,Air Red,Volume,107.56
C36,Air Red,Billed Wt,201.4
C36,Air White,Volume,401.44
C36,Air White,Billed Wt,850.24
C36,Ground,Volume,130.0
C36,Ground,Billed Wt,1438.08
C37,Air Red,Volume,89.72
C37,Air Red,Billed Wt,249.84
C37,Air White,Volume,428.96
C37,Air White,Billed Wt,686.28
C37,Ground,Volume,115.08
C37,Ground,Billed Wt,1238.6
C38,Air Red,Volume,79.96
C38,Air Red,Billed Wt,158.52
C38,Air White,Volume,384.4
C38,Air White,Billed Wt,601.56
C38,Ground,Volume,122.8
C38,Ground,Billed Wt,1414.64
C47,Air Red,Volume,72.0
C47,Air Red,Billed Wt,140.72
C47,Air White,Volume,431.08
C47,Air White,Billed Wt,519.8
C47,Ground,Volume,89.96
C47,Ground,Billed Wt,842.36
C48,Air Red,Volume,35.72
C48,Air Red,Billed Wt,73.72
C48,Air White,Volume,352.76
C48,Air White,Billed Wt,986.76
C48,Ground,Volume,127.68
C48,Ground,Billed Wt,1004.76
C50,Air Red,Volume,26.96
C50,Air Red,Billed Wt,44.12
C50,Air White,Volume,205.56
C50,Air White,Billed Wt,219.88
C50,Ground,Volume,26.64
C50,Ground,Billed Wt,338.96
C53,Air Red,Volume,61.36
C53,Air Red,Billed Wt,204.24
C53,Air White,Volume,208.96
C53,Air White,Billed Wt,703.28
C53,Ground,Volume,143.52
C53,Ground,Billed Wt,3692.8
C57,Air Red,Volume,15.36
C57,Air Red,Billed Wt,54.16
C57,Air White,Volume,69.32
C57,Air White,Billed Wt,94.4
C57,Ground,Volume,21.28
C57,Ground,Billed Wt,336.84
C59,Air Red,Volume,76.32
C59,Air Red,Billed Wt,92.6
C59,Air White,Volume,207.28
C59,Air White,Billed Wt,259.52
C59,Ground,Volume,46.52
C59,Ground,Billed Wt,816.84
C60,Air Red,Volume,6.0
C60,Air Red,Billed Wt,23.24
C60,Air White,Volume,36.12
C60,Air White,Billed Wt,80.68
C60,Ground,Volume,8.52
C60,Ground,Billed Wt,141.16
C73,Air Red,Volume,2.52
C73,Air Red,Billed Wt,5.52
C73,Air White,Volume,26.04
C73,Air White,Billed Wt,43.28
C73,Ground,Volume,10.28
C73,Ground,Billed Wt,154.84
C74,Air Red,Volume,121.88
C74,Air Red,Billed Wt,262.28
C74,Air White,Volume,372.64
C74,Air White,Billed Wt,462.96
C74,Ground,Volume,156.08
C74,Ground,Billed Wt,2282.52
E02,Air Red,Volume,499.32
E02,Air Red,Billed Wt,464.12
E02,Air White,Volume,1346.04
E02,Air White,Billed Wt,1733.2
E02,Ground,Volume,103.0
E02,Ground,Billed Wt,1359.36
E03,Air Red,Volume,149.28
E03,Air Red,Billed Wt,144.8
E03,Air White,Volume,612.48
E03,Air White,Billed Wt,804.6
E03,Ground,Volume,213.16
E03,Ground,Billed Wt,4355.64
E05,Air Red,Volume,21.4
E05,Air Red,Billed Wt,52.4
E05,Air White,Volume,129.56
E05,Air White,Billed Wt,310.16
E05,Ground,Volume,45.24
E05,Ground,Billed Wt,616.0
E06,Air Red,Volume,27.44
E06,Air Red,Billed Wt,49.04
E06,Air White,Volume,542.48
E06,Air White,Billed Wt,636.84
E06,Ground,Volume,120.92
E06,Ground,Billed Wt,1444.64
E07,Air Red,Volume,23.12
E07,Air Red,Billed Wt,15.16
E07,Air White,Volume,145.6
E07,Air White,Billed Wt,182.28
E07,Ground,Volume,22.96
E07,Ground,Billed Wt,208.92
E09,Air Red,Volume,6.12
E09,Air Red,Billed Wt,12.44
E09,Air White,Volume,91.96
E09,Air White,Billed Wt,123.76
E09,Ground,Volume,87.08
E09,Ground,Billed Wt,2161.4
E10,Air Red,Volume,9.4
E10,Air Red,Billed Wt,22.48
E10,Air White,Volume,102.68
E10,Air White,Billed Wt,184.64
E10,Ground,Volume,23.4
E10,Ground,Billed Wt,311.52
E11,Air Red,Volume,26.28
E11,Air Red,Billed Wt,24.8
E11,Air White,Volume,114.44
E11,Air White,Billed Wt,152.12
E11,Ground,Volume,28.04
E11,Ground,Billed Wt,248.48
E16,Air Red,Volume,7.04
E16,Air Red,Billed Wt,12.24
E16,Air White,Volume,124.12
E16,Air White,Billed Wt,164.84
E16,Ground,Volume,30.84
E16,Ground,Billed Wt,297.12
E20,Air Red,Volume,4.56
E20,Air Red,Billed Wt,7.2
