zone,region,city,office,name,lat,lon
SOUTH,CHENNAI,THANDALAM,C53,SREEPERUMBADHUR BRANCH,12.968381,79.953607
SOUTH,CHENNAI,CHENNAI,C54,CHENNAI DP PROCESSING CENTRE APEX,13.0633359,80.139097
SOUTH,CHENNAI,CHENGALPATTU,C57,CHENGALPET BRANCH,12.69987,79.96918
SOUTH,CHENNAI,KANCHIPURAM,C59,KANCHEEPURAM BRANCH,12.83647045,79.7125383
SOUTH,CHENNAI,SRICITY,C60,SRI CITY BRANCH,13.57028,80.03544
SOUTH,CHENNAI,CHENNAI,C73,GUMMIDIPOONDI BRANCH,13.40894,80.12071
SOUTH,CHENNAI,CHENNAI,C74,THIRUVERKADU BRANCH,13.0630475,80.1391284
SOUTH,CHENNAI,CHENNAI,C75,VELAPPANCHAVADI T/S APEX,13.0633359,80.139097
SOUTH,CHENNAI,CHENNAI,C76,VELAPPANCHAVADI AIRPORT,13.0633359,80.139097
SOUTH,CHENNAI,CHENNAI,C77,IP DISPATCH CHENNAI BRANCH,13.063334,80.138879
SOUTH,COIMBATORE,COIMBATORE,E01,COIMBATORE INTEGRATED APEX,11.074398,77.112634
SOUTH,COIMBATORE,TIRUPUR,E02,TIRUPUR BRANCH,11.10782426,77.32839594
SOUTH,COIMBATORE,ERODE,E03,ERODE BRANCH,11.345784,77.640083
SOUTH,COIMBATORE,SALEM,E04,SALEM APEX,11.6476208,78.1225439
SOUTH,COIMBATORE,KARUR,E05,KARUR BRANCH,10.962204,78.060505
SOUTH,COIMBATORE,TRICHY,E06,TRICHY BRANCH,10.80083672,78.70687294
SOUTH,COIMBATORE,DINDIGUL,E07,DINDIGUL BRANCH,10.36984208,77.95070109
SOUTH,COIMBATORE,MADURAI,E08,MADURAI APEX,9.9160699,78.0999871
SOUTH,COIMBATORE,TIRUNELVELI,E09,TIRUNELVELI BRANCH,8.723193292,77.72106845
SOUTH,COIMBATORE,TUTICORIN,E10,TUTICORIN BRANCH,8.807496667,78.14142833
SOUTH,COIMBATORE,NAGERCOIL,E11,NAGERCOILBRANCH,8.193834,77.442241
SOUTH,COIMBATORE,COIMBATORE,E13,COIMBATORE SCS APEX,11.051994,77.075771
SOUTH,COIMBATORE,SALEM,E14,SALEM SCS APEX,11.6476208,78.1225439
SOUTH,COIMBATORE,KRISHNAGIRI,E16,KRISHNAGIRI BRANCH,12.52387243,78.21039917
SOUTH,COIMBATORE,SIVAKASI,E20,SIVAKASI BRANCH,9.46405,77.79675
SOUTH,COIMBATORE,COIMBATORE,E21,COIMBATORE CITY BRANCH,11.02051,76.98313
SOUTH,COIMBATORE,THANJAVUR,E23,THANJAVUR BRANCH,10.7784691,79.1668871
SOUTH,COIMBATORE,THENI,E24,THENI BRANCH,10.008256,77.478499
SOUTH,COIMBATORE,TIRUPUR,E57,TIRUPUR SCS BRANCH,11.15889,77.38861
SOUTH,COIMBATORE,COIMBATORE,E58,COIMBATORE T/S APEX,11.017391,76.98321
SOUTH,COIMBATORE,COIMBATORE,E59,COIMBATORE AIRPORT,11.017391,76.98321
SOUTH,HYDERABAD,HYDERABAD,H07,BASHEERBAGH BRANCH,17.4067876,78.4778127
SOUTH,HYDERABAD,HYDERABAD,H08,BANJARAHILLS MASTER FRANCHISEE,17.4281551,78.4182351
SOUTH,HYDERABAD,HYDERABAD,H09,BALANAGAR BRANCH,17.47813,78.426128
SOUTH,HYDERABAD,HYDERABAD,H10,BEGUMPET BRANCH,17.4451241,78.4626917
SOUTH,HYDERABAD,HYDERABAD,H106,HYDERABAD AIRPORT,17.25955818,78.37652436
SOUTH,HYDERABAD,HYDERABAD,H11,KARMANGHAT BRANCH,17.3388089,78.53665725
SOUTH,HYDERABAD,HYDERABAD,H13,HYDERABAD SHAMSHABAD APEX,17.25955818,78.37652436
SOUTH,HYDERABAD,WARANGAL,H17,WARANGAL SUPER FRANCHISEE,17.9785298,79.6068373
SOUTH,HYDERABAD,KARIMNAGAR,H37,KARIMNAGAR SUPER FRANCHISEE,18.413139,79.135861
SOUTH,HYDERABAD,MAHABUBNAGAR,H42,MAHABUBNAGAR SUPER FRANCHISEE,16.767417,78.124722
SOUTH,HYDERABAD,HYDERABAD,H48,ANANDBAGH BRANCH,17.459601,78.557657
SOUTH,HYDERABAD,NIZAMABAD,H53,NIZAMABAD SUPER FRANCHISEE,18.681137,78.095917
SOUTH,HYDERABAD,HYDERABAD,H64,TELANGANA T/S APEX,17.25955818,78.37652436
SOUTH,HYDERABAD,SECUNDRABAD,H66,HYDERABAD SCS APEX,17.5429966,78.4879812
SOUTH,HYDERABAD,HYDERABAD,H70,GACHIBOWLI MASTER FRANCHISEE,17.41879663,78.38070337
SOUTH,HYDERABAD,HYDERABAD,H71,MEHDIPATNAM MASTER FRANCHISEE,17.388393,78.429516
SOUTH,HYDERABAD,HYDERABAD,H74,BOWENPALLY BRANCH,17.4896187,78.4822783
SOUTH,HYDERABAD,HYDERABAD,H75,BACHUPALLY NIZAMPET ROAD BRANCH,17.537887,78.363998
SOUTH,HYDERABAD,HYDERABAD,H79,NAGOLE PRACEL BRANCH,17.38219998,78.56766162
SOUTH,HYDERABAD,HYDERABAD,H80,CHANDANAGAR BRANCH,17.49883763,78.31574381
SOUTH,HYDERABAD,HYDERABAD,H90,MEDCHAL APEX,17.5429966,78.4879812
SOUTH,HYDERABAD,KHAMMAM,H91,KHAMMAM BRANCH,17.24848457,80.12996734
SOUTH,HYDERABAD,SURYAPET,H92,SURYAPET BRANCH,17.152417,79.621611
SOUTH,HYDERABAD,RANGAREDDY,H96,SHAMSHABAD BRANCH,17.25955818,78.37652436
SOUTH,HYDERABAD,MANCHERIAL,H98,MANCHERIAL SUPER FRANCHISEE,18.865111,79.45775
WEST,INDORE REGIONAL OFFICE,INDORE,I01,INDORE APEX,22.746654,75.892436
WEST,INDORE REGIONAL OFFICE,BHOPAL,I02,BHOPAL BRANCH,23.27432761,77.43983616
WEST,INDORE REGIONAL OFFICE,PITAMPUR,I03,PITHAMPUR SUB BRANCH,22.5950692,75.696276
WEST,INDORE REGIONAL OFFICE,INDORE,I04,INDORE T/S APEX,22.746654,75.892436
WEST,INDORE REGIONAL OFFICE,RATLAM,I07,RATLAM SORTING OFFICE,23.32854373,75.0364079
WEST,INDORE REGIONAL OFFICE,JABALPUR,I08,JABALPUR BRANCH,23.2019213,79.885772
WEST,INDORE REGIONAL OFFICE,BHOPAL,I10,BHOPAL T/S APEX,23.27432761,77.43983616
WEST,INDORE REGIONAL OFFICE,CHINDWARA,I11,CHHINDWARA SORTING OFFICE,22.06202215,78.95305557
WEST,INDORE REGIONAL OFFICE,MANDSAUR / DASPURKUNJ,I16,MANDSAUR SORTING OFFICE,24.07529054,75.06819506
WEST,INDORE REGIONAL OFFICE,REWA,I19,REWA BRANCH,24.5444,81.32317
WEST,INDORE REGIONAL OFFICE,DEWAS,I20,DEWAS BRANCH,22.976737,76.054412
WEST,INDORE REGIONAL OFFICE,INDORE,I24,INDORE SURFACE APEX,22.816102,75.939382
WEST,INDORE REGIONAL OFFICE,NEEMUCH,I29,NEEMUCH NODAL POINT,24.46239665,74.87486968
WEST,INDORE REGIONAL OFFICE,JABALPUR,I30,SHAHDOL NODAL POINT,23.29929,81.364875
WEST,INDORE REGIONAL OFFICE,SAGAR(MP),I34,SAGAR BRANCH,23.84878135,78.74049686
WEST,INDORE REGIONAL OFFICE,BETUL,I39,BETUL BRANCH,21.9018963,77.891193
WEST,INDORE REGIONAL OFFICE,UJJAIN,I40,UJJAIN SORTING OFFICE,23.17971,75.79362
WEST,INDORE REGIONAL OFFICE,MANDIDEEP (RAISEN),I41,MANDIDEEP SERVICE CENTER,23.1001,77.5113
WEST,INDORE REGIONAL OFFICE,INDORE,I42,INDORE CITY BRANCH,22.736601,75.877975
WEST,INDORE REGIONAL OFFICE,BHOPAL,I43,BHOPAL CITY BRANCH,23.235347,77.434564
WEST,INDORE REGIONAL OFFICE,SATNA,I44,SATNA SORTING OFFICE,24.57426,80.8465471
WEST,INDORE REGIONAL OFFICE,KATNI,I45,KATNI SORTING OFFICE,23.84023,80.41189
WEST,INDORE REGIONAL OFFICE,INDORE,I46,INDORE VIJAYNAGAR BRANCH,22.746583,75.892511
WEST,INDORE REGIONAL OFFICE,INDORE,I47,INDORE AIRPORT,22.746654,75.892436
WEST,INDORE REGIONAL OFFICE,INDORE,I48,IP DISPATCH INDORE BRANCH,22.746583,75.892511
NORTH,HHPT REGIONAL OFFICE,CHANDIGARH,J01,CHANDIGARH BRANCH,30.71151,76.808558
NORTH,HHPT REGIONAL OFFICE,JALANDHAR,J02,JALANDHAR BRANCH,31.3584794,75.5819223
NORTH,HHPT REGIONAL OFFICE,LUDHIANA,J03,LUDHIANA BRANCH,30.8955863,75.8833003
NORTH,HHPT REGIONAL OFFICE,PANIPAT,J04,PANIPAT BRANCH,29.3752606,76.9783179
NORTH,HHPT REGIONAL OFFICE,AMRITSAR,J05,AMRITSAR BRANCH,31.610906,74.9212785
NORTH,HHPT REGIONAL OFFICE,AMBALA,J06,AMBALA BRANCH,30.403561,76.787836
NORTH,HHPT REGIONAL OFFICE,HISSAR,J07,HISSAR BRANCH,29.13406,75.740307
NORTH,HHPT REGIONAL OFFICE,BHATINDA,J08,BHATINDA BRANCH,30.223627,74.934895
NORTH,HHPT REGIONAL OFFICE,AMBALA,J10,AMBALA APEX,30.403561,76.787836
NORTH,HHPT REGIONAL OFFICE,PATHANKOT,J11,PATHANKOT BRANCH,32.269851,75.646496
NORTH,HHPT REGIONAL OFFICE,BADDI,J12,BADDI SUPER FRANCHISEE,30.93845,76.800679
NORTH,HHPT REGIONAL OFFICE,PANCHKULA,J13,PANCHKULA BRANCH,30.667815,76.837394
NORTH,HHPT REGIONAL OFFICE,SHIMLA,J14,SHIMLA BRANCH,31.108444,77.164871
NORTH,HHPT REGIONAL OFFICE,KARNAL,J15,KARNAL BRANCH,29.671061,76.991046
NORTH,HHPT REGIONAL OFFICE,RAJPURA,J16,RAJPURA BRANCH,30.4923588,76.5974042
NORTH,HHPT REGIONAL OFFICE,PHAGWARA,J17,PHAGWARA BRANCH,31.213305,75.77217
NORTH,HHPT REGIONAL OFFICE,PATIALA,J18,PATIALA BRANCH,30.34437,76.399084
NORTH,HHPT REGIONAL OFFICE,NANGAL,J19,NANGAL BRANCH,31.3628978,76.3779668
NORTH,HHPT REGIONAL OFFICE,BILASPUR  ( H.P.),J20,BILASPUR SUPER FRANCHISEE,31.338231,76.760871
NORTH,HHPT REGIONAL OFFICE,MOHALI,J21,MOHALI BRANCH,30.7144071,76.6913828
NORTH,HHPT REGIONAL OFFICE,ROHTAK,J25,ROHTAK BRANCH,28.9089,76.590565
NORTH,HHPT REGIONAL OFFICE,KUNDLI,J26,KUNDLI BRANCH,28.860715,77.153571
NORTH,HHPT REGIONAL OFFICE,CHANDIGARH,J29,PANCHKULA APEX,30.667815,76.837394
NORTH,HHPT REGIONAL OFFICE,CHANDIGARH,J30,CHANDIGARH SCS APEX,30.667815,76.837394
NORTH,HHPT REGIONAL OFFICE,BADDI,J33,BADDI SCS APEX,30.9279878,76.7966137
NORTH,HHPT REGIONAL OFFICE,SIRSA,J36,SIRSA BRANCH,29.5336667,75.0300057
NORTH,HHPT REGIONAL OFFICE,BAHADURGARH,J37,BAHADURGARH BRANCH,28.68945,76.953875
NORTH,HHPT REGIONAL OFFICE,SOLAN,J39,SOLAN BRANCH,30.90637,77.088789
NORTH,HHPT REGIONAL OFFICE,MOGA,J48,MOGA BRANCH,30.82256126,75.17527771
NORTH,HHPT REGIONAL OFFICE,YAMUNA NAGAR,J50,YAMUNA NAGAR BRANCH,30.13258984,77.28474862
NORTH,HHPT REGIONAL OFFICE,LUDHIANA,J53,LUDHIANA ATAM PARK BRANCH,30.895573,75.883299
NORTH,HHPT REGIONAL OFFICE,KHARAR,J54,KHARAR BRANCH,30.7456796,76.6527478
NORTH,HHPT REGIONAL OFFICE,PANCHKULA,J55,PANCHKULA T/S APEX,30.667815,76.837394
NORTH,HHPT REGIONAL OFFICE,PANCHKULA,J56,PANCHKULA AIRPORT,30.667815,76.837394
NORTH,HHPT REGIONAL OFFICE,BATALA,J57,BATALA BRANCH,31.8226985,75.2094149
NORTH,HHPT REGIONAL OFFICE,HOSHIARPUR,J58,HOSHIARPUR SERVICE CENTER,31.518055,75.926388
EAST,KOLKATA,KOLKATA,K01,MOULALI BRANCH,22.56048346,88.36895577
EAST,KOLKATA,KOLKATA,K02,DTDC BHAWAN,22.62824545,88.44588786
EAST,KOLKATA,KRISHNANAGAR,K03,KRISHNANAGAR BRANCH,23.3762904,88.5125793
EAST,KOLKATA,KOLKATA,K04,BAGHBAZAR BRANCH,22.604267,88.374071
EAST,KOLKATA,KOLKATA,K05,RAJARHAT BRANCH,22.62824545,88.44588786
EAST,KOLKATA,KOLKATA,K06,AGARPARA SUPER FRANCHISEE,22.687889,88.380944
EAST,KOLKATA,KOLKATA,K07,TARATALA(GOPALPUR) MASTER FRANCHISEE,22.51392239,88.28749967
EAST,KOLKATA,HOWRAH,K08,HOWRAH BRANCH,22.597692,88.346169
EAST,KOLKATA,ALIPURDWAR,K104,ALIPURDUAR BRANCH,26.49070803,89.52644226
EAST,KOLKATA,KALIMPONG,K114,KALINGPONG HELIX SORTING OFFICE,27.06419,88.46667
EAST,KOLKATA,RANIGANJ,K119,PUNJABI MORE BRANCH,23.6356357,87.1177009
EAST,KOLKATA,HOWRAH,K128,EAST KOLKATA KONA STORAGE CENTER APEX,22.61790235,88.27881141
EAST,KOLKATA,MATIGARA,K129,KHAPRAIL BRANCH,26.74426398,88.3537118
EAST,KOLKATA,BARUIPUR,K130,BARUIPUR BRANCH,22.39087083,88.4171103
EAST,KOLKATA,MAYNAGURI,K132,MOYNAGURI HELIX SORTING OFFICE,26.5659038,88.8267541
EAST,KOLKATA,DOMJUR,K133,KOLKATA FULFILMENT CENTRE-FC_11,22.60095966,88.22296766
EAST,KOLKATA,KOLKATA,K134,KOLKATA AIRPORT,22.62824545,88.44588786
EAST,KOLKATA,MATIGARA,K135,SILIGURI-MATIGARA AIRPORT,26.74426398,88.3537118
EAST,KOLKATA,DURGAPUR,K136,ANDAL AIR APEX,23.49828,87.32783
EAST,KOLKATA,DURGAPUR,K14,DURGAPUR BRANCH,23.49828,87.32783
EAST,KOLKATA,SILIGURI,K15,SILIGURI BRANCH,26.71349247,88.42535262
EAST,KOLKATA,KOLKATA,K16,KOLKATA RAJARHAT APEX,22.62824545,88.44588786
EAST,KOLKATA,ASANSOL,K22,ASANSOL BRANCH,23.70836351,86.95007678
EAST,KOLKATA,MALDAH,K23,MALDA BRANCH,24.99608722,88.15811202
EAST,KOLKATA,KOLKATA,K26,KOLKATA INTERNATIONAL APEX,22.55660582,88.39789079
EAST,KOLKATA,PURULIA,K27,PURULIA SUB BRANCH,23.32843,86.37015
EAST,KOLKATA,KOLKATA,K28,BY-PASS BRANCH,22.55660582,88.39789079
EAST,KOLKATA,DIAMOND HARBOUR,K29,DIAMOND HARBOR SORTING OFFICE,22.20240621,88.18924839
EAST,KOLKATA,MECHEDA,K32,MECHEDA BRANCH,22.41342885,87.86281222
EAST,KOLKATA,BAHARAMPORE,K37,BAHARAMPORE BRANCH,24.09258565,88.2689143
EAST,KOLKATA,KOLKATA,K39,LAKE VIEW BRANCH,22.509325,88.34605791
EAST,KOLKATA,KHARAGPUR,K40,KHARAGPUR BRANCH,22.37317496,87.34126308
EAST,KOLKATA,BURDWAN,K45,BURDWAN BRANCH,23.269912,87.822494
EAST,KOLKATA,GANGTOK,K51,GANGTOK SERVICE CENTER,27.30885651,88.59471465
EAST,KOLKATA,FULIA,K54,FULIA BRANCH,23.220178,88.505196
EAST,KOLKATA,KOLKATA,K55,KOLKATA T/S APEX,22.62824545,88.44588786
EAST,KOLKATA,PORT BLAIR,K56,PORT BLAIR BRANCH,11.659932,92.732993
EAST,KOLKATA,BANKURA,K63,BANKURA SUPER FRANCHISE,23.23000438,87.06392297
EAST,KOLKATA,KOLKATA,K65,KOLKATA HP APEX,22.62824545,88.44588786
EAST,KOLKATA,SILIGURI,K66,SILIGURI-MATIGARA APEX,26.74426398,88.3537118
EAST,KOLKATA,KOLKATA,K68,SALT LAKE BRANCH,22.59459335,88.42106258
EAST,KOLKATA,HOWRAH,K72,KONA BRANCH,22.61790235,88.27881141
EAST,KOLKATA,BARASAT,K74,BARASAT BRANCH,22.718198,88.523752
EAST,KOLKATA,KOLKATA,K75,GARIA BRANCH,22.46641291,88.39704962
EAST,KOLKATA,COOCHBEHAR,K79,COOCHBEHAR BRANCH,26.3338757,89.4586333
EAST,KOLKATA,SERAMPORE,K81,SERAMPORE SUPER FRANCHISEE,22.7619341,88.3167777
EAST,KOLKATA,RANGPO,K82,RANGPO SUB BRANCH,27.17721333,88.522671
EAST,KOLKATA,KOLKATA,K83,KOLKATA DP PROCESSING AND DELIVERY BRANCH,22.62824545,88.44588786
EAST,KOLKATA,DARJEELING,K84,DARJEELING BRANCH,27.04084765,88.263563
EAST,KOLKATA,BIRBHUM,K85,BOLPUR BRANCH,23.65587,87.68866
EAST,KOLKATA,KOLKATA,K88,CAMAC STREET BRANCH,22.552155,88.355167
EAST,KOLKATA,HALDIA,K89,HALDIA SERVICE CENTER,22.0625995,88.0797428
EAST,KOLKATA,HOWRAH,K95,KOLKATA PAKURIA APEX,22.61790235,88.27881141
EAST,KOLKATA,SILIGURI,K96,NORTH BENGAL T/S APEX,26.74426398,88.3537118
NORTH,GGR REGIONAL OFFICE,GURGAON,L01,GURGAON DP PROCESSING CENTER APEX,28.53231663,77.09848338
NORTH,GGR REGIONAL OFFICE,GURGAON,L02,GURGAON MASTER FRANCHISEE,28.46080986,77.08384333
NORTH,GGR REGIONAL OFFICE,GURGAON,L03,GURGAON - HERO HONDA CHOWK BRANCH,28.44898176,77.02466524
NORTH,GGR REGIONAL OFFICE,GURGAON,L04,GURGAON BRANCH,28.49562696,77.06081857
NORTH,GGR REGIONAL OFFICE,DHARUHERA,L05,DHARUHERA BRANCH,28.29083713,76.85456587
NORTH,GGR REGIONAL OFFICE,GURGAON,L14,GURGAON SCS APEX,28.49562696,77.06081857
