Type,Origin_Region,Destination_Region,Total_Flow_Units,Optimal_Flow_Units,Non_Optimal_Flow_Units,Optimal_Flow_Percentage,Non_Optimal_Flow_Percentage
Billed Wt,VJA,CJB,320.48,0.0,320.48,0.0,100.0
Billed Wt,VJA,COK,175.6,0.0,175.6,0.0,100.0
Billed Wt,VJA,DDL,270.44,0.0,270.44,0.0,100.0
Billed Wt,VJA,GAU,73.24000000000002,0.0,73.24000000000002,0.0,100.0
Billed Wt,VJA,HHPT,137.56000000000003,0.0,137.56000000000003,0.0,100.0
Billed Wt,VJA,HYD,7162.48,5673.679999999999,1488.8,79.21,20.79
Billed Wt,VJA,IDR,94.68,0.0,94.68,0.0,100.0
Billed Wt,VJA,JAI,149.60000000000002,0.0,149.60000000000002,0.0,100.0
Billed Wt,VJA,MUM,644.9200000000002,0.0,644.9200000000002,0.0,100.0
Billed Wt,VJA,NGP,71.24,0.0,71.24,0.0,100.0
Billed Wt,VJA,PAT,59.55999999999999,0.0,59.55999999999999,0.0,100.0
Billed Wt,VJA,PNQ,425.88000000000005,0.0,425.88000000000005,0.0,100.0
Billed Wt,VJA,UPT,196.23999999999995,0.0,196.23999999999995,0.0,100.0
Billed Wt,VJA,VJA,0.0,0.0,0.0,0.0,0.0
Volume,AMD,AMD,0.0,0.0,0.0,0.0,0.0
Volume,AMD,BBI,307.92,0.0,307.92,0.0,100.0
Volume,AMD,BLR,1622.1199999999997,735.08,887.04,45.32,54.68
Volume,AMD,CCU,856.8000000000001,46.28,810.52,5.4,94.6
Volume,AMD,CHE,656.9999999999999,45.96,611.0399999999998,7.0,93.0
Volume,AMD,CJB,359.84000000000003,53.28,306.56000000000006,14.81,85.19
Volume,AMD,COK,801.3199999999999,138.64000000000001,662.6799999999998,17.3,82.7
Volume,AMD,DDL,656.0,94.96,561.0400000000001,14.48,85.52
Volume,AMD,GAU,215.76000000000013,0.0,215.76000000000013,0.0,100.0
Volume,AMD,HHPT,690.88,46.6,644.28,6.75,93.25
Volume,AMD,HYD,1483.1200000000003,844.6800000000001,638.4399999999997,56.95,43.05
Volume,AMD,IDR,356.8000000000001,0.0,356.8000000000001,0.0,100.0
Volume,AMD,JAI,550.64,0.0,550.64,0.0,100.0
Volume,AMD,MUM,1009.8000000000002,171.24,838.5600000000002,16.96,83.04
Volume,AMD,NGP,269.68,0.0,269.68,0.0,100.0
Volume,AMD,PAT,289.8800000000001,0.0,289.8800000000001,0.0,100.0
Volume,AMD,PNQ,1034.9599999999998,339.84,695.1199999999998,32.84,67.16
Volume,AMD,UPT,835.5200000000002,48.32,787.2000000000002,5.78,94.22
Volume,AMD,VJA,931.5600000000001,335.72,595.84,36.04,63.96
Volume,BBI,AMD,48.15999999999998,0.0,48.15999999999998,0.0,100.0
Volume,BBI,BBI,0.0,0.0,0.0,0.0,0.0
