zone,region,city,office,name,lat,lon
WEST,INDORE REGIONAL OFFICE,REWA,I19,REWA BRANCH,24.5444,81.32317
WEST,INDORE REGIONAL OFFICE,DEWAS,I20,DEWAS BRANCH,22.976737,76.054412
WEST,INDORE REGIONAL OFFICE,SAGAR(MP),I34,SAGAR BRANCH,23.84878135,78.74049686
WEST,INDORE REGIONAL OFFICE,BETUL,I39,BETUL BRANCH,21.9018963,77.891193
WEST,INDORE REGIONAL OFFICE,INDORE,I42,INDORE CITY BRANCH,22.736601,75.877975
WEST,INDORE REGIONAL OFFICE,BHOPAL,I43,BHOPAL CITY BRANCH,23.235347,77.434564
WEST,INDORE REGIONAL OFFICE,INDORE,I46,INDORE VIJAYNAGAR BRANCH,22.746583,75.892511
WEST,INDORE REGIONAL OFFICE,INDORE,I48,IP DISPATCH INDORE BRANCH,22.746583,75.892511
NORTH,HHPT REGIONAL OFFICE,CHANDIGARH,J01,CHANDIGARH BRANCH,30.71151,76.808558
NORTH,HHPT REGIONAL OFFICE,JALANDHAR,J02,JALANDHAR BRANCH,31.3584794,75.5819223
NORTH,HHPT REGIONAL OFFICE,LUDHIANA,J03,LUDHIANA BRANCH,30.8955863,75.8833003
NORTH,HHPT REGIONAL OFFICE,PANIPAT,J04,PANIPAT BRANCH,29.3752606,76.9783179
NORTH,HHPT REGIONAL OFFICE,AMRITSAR,J05,AMRITSAR BRANCH,31.610906,74.9212785
NORTH,HHPT REGIONAL OFFICE,AMBALA,J06,AMBALA BRANCH,30.403561,76.787836
NORTH,HHPT REGIONAL OFFICE,HISSAR,J07,HISSAR BRANCH,29.13406,75.740307
NORTH,HHPT REGIONAL OFFICE,BHATINDA,J08,BHATINDA BRANCH,30.223627,74.934895
NORTH,HHPT REGIONAL OFFICE,PATHANKOT,J11,PATHANKOT BRANCH,32.269851,75.646496
NORTH,HHPT REGIONAL OFFICE,PANCHKULA,J13,PANCHKULA BRANCH,30.667815,76.837394
NORTH,HHPT REGIONAL OFFICE,SHIMLA,J14,SHIMLA BRANCH,31.108444,77.164871
NORTH,HHPT REGIONAL OFFICE,KARNAL,J15,KARNAL BRANCH,29.671061,76.991046
NORTH,HHPT REGIONAL OFFICE,RAJPURA,J16,RAJPURA BRANCH,30.4923588,76.5974042
NORTH,HHPT REGIONAL OFFICE,PHAGWARA,J17,PHAGWARA BRANCH,31.213305,75.77217
NORTH,HHPT REGIONAL OFFICE,PATIALA,J18,PATIALA BRANCH,30.34437,76.399084
NORTH,HHPT REGIONAL OFFICE,NANGAL,J19,NANGAL BRANCH,31.3628978,76.3779668
NORTH,HHPT REGIONAL OFFICE,MOHALI,J21,MOHALI BRANCH,30.7144071,76.6913828
NORTH,HHPT REGIONAL OFFICE,ROHTAK,J25,ROHTAK BRANCH,28.9089,76.590565
NORTH,HHPT REGIONAL OFFICE,KUNDLI,J26,KUNDLI BRANCH,28.860715,77.153571
NORTH,HHPT REGIONAL OFFICE,SIRSA,J36,SIRSA BRANCH,29.5336667,75.0300057
NORTH,HHPT REGIONAL OFFICE,BAHADURGARH,J37,BAHADURGARH BRANCH,28.68945,76.953875
NORTH,HHPT REGIONAL OFFICE,SOLAN,J39,SOLAN BRANCH,30.90637,77.088789
NORTH,HHPT REGIONAL OFFICE,MOGA,J48,MOGA BRANCH,30.82256126,75.17527771
NORTH,HHPT REGIONAL OFFICE,YAMUNA NAGAR,J50,YAMUNA NAGAR BRANCH,30.13258984,77.28474862
NORTH,HHPT REGIONAL OFFICE,LUDHIANA,J53,LUDHIANA ATAM PARK BRANCH,30.895573,75.883299
NORTH,HHPT REGIONAL OFFICE,KHARAR,J54,KHARAR BRANCH,30.7456796,76.6527478
NORTH,HHPT REGIONAL OFFICE,BATALA,J57,BATALA BRANCH,31.8226985,75.2094149
EAST,KOLKATA,KOLKATA,K01,MOULALI BRANCH,22.56048346,88.36895577
EAST,KOLKATA,KRISHNANAGAR,K03,KRISHNANAGAR BRANCH,23.3762904,88.5125793
EAST,KOLKATA,KOLKATA,K04,BAGHBAZAR BRANCH,22.604267,88.374071
EAST,KOLKATA,KOLKATA,K05,RAJARHAT BRANCH,22.62824545,88.44588786
EAST,KOLKATA,HOWRAH,K08,HOWRAH BRANCH,22.597692,88.346169
EAST,KOLKATA,ALIPURDWAR,K104,ALIPURDUAR BRANCH,26.49070803,89.52644226
EAST,KOLKATA,RANIGANJ,K119,PUNJABI MORE BRANCH,23.6356357,87.1177009
EAST,KOLKATA,MATIGARA,K129,KHAPRAIL BRANCH,26.74426398,88.3537118
EAST,KOLKATA,BARUIPUR,K130,BARUIPUR BRANCH,22.39087083,88.4171103
EAST,KOLKATA,DURGAPUR,K14,DURGAPUR BRANCH,23.49828,87.32783
EAST,KOLKATA,SILIGURI,K15,SILIGURI BRANCH,26.71349247,88.42535262
EAST,KOLKATA,ASANSOL,K22,ASANSOL BRANCH,23.70836351,86.95007678
EAST,KOLKATA,MALDAH,K23,MALDA BRANCH,24.99608722,88.15811202
EAST,KOLKATA,PURULIA,K27,PURULIA SUB BRANCH,23.32843,86.37015
EAST,KOLKATA,KOLKATA,K28,BY-PASS BRANCH,22.55660582,88.39789079
EAST,KOLKATA,MECHEDA,K32,MECHEDA BRANCH,22.41342885,87.86281222
EAST,KOLKATA,BAHARAMPORE,K37,BAHARAMPORE BRANCH,24.09258565,88.2689143
EAST,KOLKATA,KOLKATA,K39,LAKE VIEW BRANCH,22.509325,88.34605791
EAST,KOLKATA,KHARAGPUR,K40,KHARAGPUR BRANCH,22.37317496,87.34126308
EAST,KOLKATA,BURDWAN,K45,BURDWAN BRANCH,23.269912,87.822494
EAST,KOLKATA,FULIA,K54,FULIA BRANCH,23.220178,88.505196
EAST,KOLKATA,PORT BLAIR,K56,PORT BLAIR BRANCH,11.659932,92.732993
EAST,KOLKATA,KOLKATA,K68,SALT LAKE BRANCH,22.59459335,88.42106258
EAST,KOLKATA,HOWRAH,K72,KONA BRANCH,22.61790235,88.27881141
EAST,KOLKATA,BARASAT,K74,BARASAT BRANCH,22.718198,88.523752
EAST,KOLKATA,KOLKATA,K75,GARIA BRANCH,22.46641291,88.39704962
EAST,KOLKATA,COOCHBEHAR,K79,COOCHBEHAR BRANCH,26.3338757,89.4586333
EAST,KOLKATA,RANGPO,K82,RANGPO SUB BRANCH,27.17721333,88.522671
EAST,KOLKATA,KOLKATA,K83,KOLKATA DP PROCESSING AND DELIVERY BRANCH,22.62824545,88.44588786
EAST,KOLKATA,DARJEELING,K84,DARJEELING BRANCH,27.04084765,88.263563
EAST,KOLKATA,BIRBHUM,K85,BOLPUR BRANCH,23.65587,87.68866
EAST,KOLKATA,KOLKATA,K88,CAMAC STREET BRANCH,22.552155,88.355167
NORTH,GGR REGIONAL OFFICE,GURGAON,L03,GURGAON - HERO HONDA CHOWK BRANCH,28.44898176,77.02466524
NORTH,GGR REGIONAL OFFICE,GURGAON,L04,GURGAON BRANCH,28.49562696,77.06081857
NORTH,GGR REGIONAL OFFICE,DHARUHERA,L05,DHARUHERA BRANCH,28.29083713,76.85456587
NORTH,GGR REGIONAL OFFICE,GURGAON,L23,MANESAR BRANCH,28.40651465,76.88362896
NORTH,GGR REGIONAL OFFICE,GURGAON,L27,GURGAON - SOHNA ROAD BRANCH,28.40931315,77.04183359
WEST,MUMBAI,MUMBAI,M01,LOWER PAREL BRANCH,19.00618185,72.82632596
WEST,MUMBAI,MUMBAI,M02,FORT BRANCH,18.93384567,72.83483858
WEST,MUMBAI,MUMBAI,M04,MIDC BRANCH,19.1145843,72.8601245
