des_branch_code,service_type,type,sum
I03,Air Red,Volume,39.52
I03,Air White,Volume,279.92
I03,Ground,Volume,66.72
I07,Air Red,Volume,36.28
I07,Air White,Volume,162.52
I07,Ground,Volume,55.68
I08,Air Red,Volume,158.52
I08,Air White,Volume,674.24
I08,Ground,Volume,241.72
I11,Air Red,Volume,21.88
I11,Air White,Volume,100.2
I11,Ground,Volume,38.48
I16,Air Red,Volume,24.56
I16,Air White,Volume,99.68
I16,Ground,Volume,40.84
I19,Air Red,Volume,39.08
I19,Air White,Volume,195.08
I19,Ground,Volume,75.32
I20,Air Red,Volume,27.76
I20,Air White,Volume,136.08
I20,Ground,Volume,37.24
I29,Air Red,Volume,13.48
I29,Air White,Volume,57.84
I29,Ground,Volume,24.8
I30,Air Red,Volume,13.48
I30,Air White,Volume,59.76
I30,Ground,Volume,23.84
I34,Air Red,Volume,26.8
I34,Air White,Volume,113.04
I34,Ground,Volume,47.2
I39,Air Red,Volume,13.12
I39,Air White,Volume,66.0
I39,Ground,Volume,22.48
I40,Air Red,Volume,69.68
I40,Air White,Volume,299.24
I40,Ground,Volume,111.72
I41,Air Red,Volume,17.16
I41,Air White,Volume,152.48
I41,Ground,Volume,20.44
I42,Air Red,Volume,242.12
I42,Air White,Volume,1028.4
I42,Ground,Volume,216.48
I43,Air Red,Volume,183.68
I43,Air White,Volume,769.16
I43,Ground,Volume,161.88
I44,Air Red,Volume,19.08
I44,Air White,Volume,104.24
I44,Ground,Volume,40.08
I45,Air Red,Volume,13.64
I45,Air White,Volume,99.64
I45,Ground,Volume,26.36
I46,Air Red,Volume,208.64
I46,Air White,Volume,1106.6
I46,Ground,Volume,257.36
I48,Air Red,Volume,0.0
I48,Air White,Volume,7.2
I48,Ground,Volume,2.36
J01,Air Red,Volume,388.44
J01,Air White,Volume,1898.64
J01,Ground,Volume,330.08
J02,Air Red,Volume,242.64
J02,Air White,Volume,1617.64
J02,Ground,Volume,374.12
J03,Air Red,Volume,464.88
J03,Air White,Volume,2826.6
J03,Ground,Volume,528.96
J04,Air Red,Volume,116.72
J04,Air White,Volume,895.28
J04,Ground,Volume,153.44
J05,Air Red,Volume,202.8
J05,Air White,Volume,1293.16
J05,Ground,Volume,304.68
J06,Air Red,Volume,27.28
J06,Air White,Volume,149.04
J06,Ground,Volume,58.48
J07,Air Red,Volume,120.08
J07,Air White,Volume,1015.6
J07,Ground,Volume,227.4
J08,Air Red,Volume,139.28
J08,Air White,Volume,1219.96
J08,Ground,Volume,281.12
J11,Air Red,Volume,62.44
J11,Air White,Volume,415.16
J11,Ground,Volume,115.84
J12,Air Red,Volume,65.0
J12,Air White,Volume,559.84
J12,Ground,Volume,112.0
J13,Air Red,Volume,234.64
J13,Air White,Volume,1542.32
J13,Ground,Volume,245.08
J14,Air Red,Volume,55.08
J14,Air White,Volume,314.04
J14,Ground,Volume,101.24
J15,Air Red,Volume,92.56
J15,Air White,Volume,752.28
J15,Ground,Volume,131.4
J16,Air Red,Volume,91.0
J16,Air White,Volume,776.16
J16,Ground,Volume,159.32
J17,Air Red,Volume,41.0
J17,Air White,Volume,318.12
J17,Ground,Volume,67.32
J18,Air Red,Volume,126.44
J18,Air White,Volume,941.64
J18,Ground,Volume,206.48
J19,Air Red,Volume,81.84
J19,Air White,Volume,503.56
J19,Ground,Volume,178.2
J20,Air Red,Volume,49.8
J20,Air White,Volume,305.88
J20,Ground,Volume,113.64
J21,Air Red,Volume,180.48
J21,Air White,Volume,1084.48
J21,Ground,Volume,167.28
J25,Air Red,Volume,140.64
J25,Air White,Volume,1016.52
J25,Ground,Volume,226.84
J26,Air Red,Volume,133.92
J26,Air White,Volume,1074.64
J26,Ground,Volume,236.04
J36,Air Red,Volume,39.88
J36,Air White,Volume,300.8
J36,Ground,Volume,75.0
J37,Air Red,Volume,59.96
J37,Air White,Volume,507.84
J37,Ground,Volume,92.56
J39,Air Red,Volume,70.0
J39,Air White,Volume,313.28
J39,Ground,Volume,79.92
J48,Air Red,Volume,53.2
J48,Air White,Volume,402.64
J48,Ground,Volume,94.8
J50,Air Red,Volume,58.48
J50,Air White,Volume,464.32
J50,Ground,Volume,99.6
J54,Air Red,Volume,77.2
J54,Air White,Volume,344.16
J54,Ground,Volume,46.8
K01,Air Red,Volume,251.56
K01,Air White,Volume,1543.28
K01,Ground,Volume,66.84
K03,Air Red,Volume,41.44
K03,Air White,Volume,176.72
K03,Ground,Volume,59.48
K04,Air Red,Volume,102.76
K04,Air White,Volume,642.76
K04,Ground,Volume,51.0
K05,Air Red,Volume,420.72
K05,Air White,Volume,1740.88
K05,Ground,Volume,360.4
K06,Air Red,Volume,214.68
K06,Air White,Volume,1234.32
K06,Ground,Volume,251.04
K07,Air Red,Volume,278.92
K07,Air White,Volume,1250.44
K07,Ground,Volume,261.28
K08,Air Red,Volume,125.84
K08,Air White,Volume,780.56
K08,Ground,Volume,146.68
K104,Air Red,Volume,9.56
K104,Air White,Volume,45.44
K104,Ground,Volume,12.24
K119,Air Red,Volume,17.12
K119,Air White,Volume,95.36
K119,Ground,Volume,25.84
K129,Air Red,Volume,41.16
K129,Air White,Volume,146.0
K129,Ground,Volume,25.4
K132,Air Red,Volume,0.0
K132,Air White,Volume,0.04
K132,Ground,Volume,0.0
K14,Air Red,Volume,115.4
K14,Air White,Volume,602.8
K14,Ground,Volume,116.84
K15,Air Red,Volume,158.88
K15,Air White,Volume,600.96
K15,Ground,Volume,131.32
K22,Air Red,Volume,94.12
K22,Air White,Volume,482.68
K22,Ground,Volume,135.12
K23,Air Red,Volume,137.4
K23,Air White,Volume,576.96
K23,Ground,Volume,206.68
K27,Air Red,Volume,22.28
K27,Air White,Volume,114.96
K27,Ground,Volume,36.36
K28,Air Red,Volume,59.28
K28,Air White,Volume,127.92
K28,Ground,Volume,262.36
K29,Air Red,Volume,23.24
K29,Air White,Volume,121.64
K29,Ground,Volume,41.52
K32,Air Red,Volume,83.64
K32,Air White,Volume,394.36
K32,Ground,Volume,146.16
K37,Air Red,Volume,81.8
K37,Air White,Volume,331.08
K37,Ground,Volume,122.84
K39,Air Red,Volume,367.24
K39,Air White,Volume,1462.16
K39,Ground,Volume,107.08
K40,Air Red,Volume,107.8
K40,Air White,Volume,575.4
K40,Ground,Volume,139.32
K45,Air Red,Volume,99.8
K45,Air White,Volume,478.28
K45,Ground,Volume,142.84
K51,Air Red,Volume,29.2
K51,Air White,Volume,86.4
K51,Ground,Volume,25.76
K54,Air Red,Volume,9.4
K54,Air White,Volume,70.52
K54,Ground,Volume,15.52
K56,Air Red,Volume,21.6
K56,Air White,Volume,43.44
K56,Ground,Volume,0.04
K63,Air Red,Volume,43.04
K63,Air White,Volume,239.16
K63,Ground,Volume,69.68
K68,Air Red,Volume,253.68
K68,Air White,Volume,1233.48
K68,Ground,Volume,71.12
K72,Air Red,Volume,92.88
K72,Air White,Volume,563.92
K72,Ground,Volume,147.44
K74,Air Red,Volume,169.72
K74,Air White,Volume,873.28
K74,Ground,Volume,226.92
K75,Air Red,Volume,241.8
K75,Air White,Volume,1090.08
K75,Ground,Volume,207.84
K79,Air Red,Volume,47.16
K79,Air White,Volume,186.16
K79,Ground,Volume,66.6
K81,Air Red,Volume,198.92
